32768.- ALARCON ZEGARRA, ADOLFO 6.08
32769.- ALBALADEJO YUSTE, ADRIAN 5.00
32770.- AL-LAL VIRSEDA, ADRIANA 5.00
32771.- ALONSO VILLARUBIA, AIDA 5.00
32772.- ALUMBREROS VIERA, AINHOA 2.50
32773.- ALVAREZ VERGARA, A. 2.50
32774.- ALVAREZ VERGARA, ALBERTO 5.00
32775.- ALVAREZ VELASCO, ALBERTO 5.00
32776.- AMO VEGA, ALBERTO 4.16
32777.- AMO VAQUERO, ALBERTO 5.58
32778.- AMOR VALERA, ALEJANDRO 5.00
32779.- ANAYA TIJERAS, ALFREDO 1.50
32780.- ANTON TEJEDOR, ALFREDO 7.08
32781.- ANTON STAGNETTO, ALMUDENA 3.08
32782.- ARANDA SORIANO, ALVARO 2.00
32783.- ARNEDO SOMOLINOS, ALVARO 5.00
32784.- AROCA SERNA, ALVARO 3.58
32785.- ARRANZ SEIXAS, ALVARO 3.83
32786.- ARRANZ SANZ, ALVARO 3.83
32787.- ARREDONDO SANTOS, AMAIA 3.00
32788.- ARROYO SANTANDER, ANA 3.00
32789.- ARROYO SANCHEZ, ANA 3.00
32790.- AZA SANCHEZ, ANDRES 6.08
32791.- BALCONES SANCHEZ, ANTONIO 3.58
32792.- BARCENA SANCHEZ, ANTONIO 3.58
32793.- BARCOS RUIZ-CANALES, ANTONIO 3.58
32794.- BARRIO RUIZ, ANTONIO 3.58
32795.- BERMEJO RUIZ, ARTURO 4.16
32796.- BERNAL RUEDAS, AURORA 4.16
32797.- BERNARDOS RUBIO, BEATRIZ 4.16
32798.- BERROCAL ROMERO, BORIS 3.25
32799.- BLANCO ROMERO, CARLOS 5.08
32800.- BLANCO ROLLAN, CARLOS 3.25
32801.- BLANCO RODRIGUEZ, CARLOS 3.08
32802.- BORREGUERO RODRIGUEZ, CAROLINA 4.41
32803.- BOSCH RODRIGUEZ, CAROLINA 1.25
32804.- CABRERA RODRIGUEZ, CESAR 2.75
32805.- CACERES RODRIGUEZ, CESAR 6.91
32806.- CALVIÑO RODRIGUEZ, CESAR 5.33
32807.- CAÑADAS RODRIGUEZ, CESAR 5.33
32808.- CARAZO ROBLES, CORAL 5.58
32809.- CARNICER ROBLEDO, DANIEL 6.66
32810.- CARRASCO RIUS, DANIEL 3.58
32811.- CARRASCO RIOS, DANIEL 1.25
32812.- CASALENGUA RIOPEREZ, DANIEL 6.83
32813.- CHAPINAL RICO, DAVID 4.41
32814.- CID REVILLA, DAVID 6.50
32815.- CIFUENTES RENEDO, DAVID 2.16
32816.- COBRECES REDONDO, DAVID 3.75
32817.- CONCHA RANERO, DAVID 3.25
32818.- CORRAL QUIROS, DAVID 3.91
32819.- CORRAL PORRAS, DAVID 1.91
32820.- CRESPO PLA, DAVID 7.25
32821.- CRESPO PINO, DAVID 3.75
32822.- CUADRADO PIEDRA, DAVID 3.58
32823.- DIAZ PICAZO, DAVID 1.66
32824.- DOMINGUEZ PEREZ, DAVID 1.66
32825.- DOMINGUEZ PEREZ, DIEGO 0.50
32826.- DOMINGUEZ PEREZ, DIEGO 5.00
32827.- DONAIRE PEREZ, DIEGO 2.83
32828.- DUARTE PEREZ, EDUARDO 8.00
32829.- DUSUKY PEREZ, EDUARDO 8.00
32830.- EGIDO PEREZ, ELENA 8.00
32831.- ELEZ PEREDA, EMILIANO 6.75
32832.- ENCINAS PEINADO, EMILIO 3.50
32833.- ESCRIBANO PE, EMILIO 3.50
32834.- ESPAÑA PASTOR, ENRIQUE 3.50
32835.- ESPI PARRA, ERNESTO 4.33
32836.- ESTABLES OTERO, ERNESTO 2.25
32837.- ESTEVE OTER, ESTELA 5.00
32838.- ESTRADA OTER, ESTER 5.16
32839.- FAJARDO ORTIZ, ESTHER 1.91
32840.- FERNANDEZ ORTEGA, EUGENIO 6.58
32841.- FERNANDEZ OLMOS, EVA 6.58
32842.- FERNANDEZ OLIVEROS, FCO. 6.58
32843.- FERNANDEZ OLIVA, FELIPE 6.41
32844.- FLORES NIETO, FERNANDO 2.25
32845.- FORTEZA NELSON, FERNANDO 3.58
32846.- GARCIA NEGREIRA, FERNANDO 3.08
32847.- GARCIA MUÑOZ, FRANCISCO 4.16
32848.- GARCIA MUÑOZ, FRANCISCO 3.83
32849.- GARCIA MOSQUEIRA, FRANCISCO 3.83
32850.- GARCIA MORCUENDE, FRANCISCO 3.83
32851.- GARCIA MIRANDA, FRANCISCO 3.83
32852.- GARCIA MEDINA, GEMA 4.16
32853.- GASALLA MEDINA, GERMAN 6.83
32854.- GAVILAN MEDEL, GERMAN 3.91
32855.- GIMENO MECA, GONZALO 3.50
32856.- GOMEZ MAYORAL, GUILLERMO 7.33
32857.- GOMEZ MAYORAL, GUILLERMO 7.33
32858.- GOMEZ MATIAS, GUSTAVO 1.00
32859.- GOMEZ MASA, HANA 2.50
32860.- GOMEZ MARTOS, HELENA 3.00
32861.- GONZALEZ MARTINEZ, IRENE 3.00
32862.- GONZALEZ MARTINEZ, ISABEL 6.83
32863.- GONZALEZ MARTINEZ, ISRAEL 5.08
32864.- GONZALEZ MARTINEZ, IVAN 2.33
32865.- GONZALEZ MARTÍN, IVAN 3.00
32866.- GONZALEZ MARTIN, IVAN 5.00
32867.- GONZALEZ MARTIN, JAVIER 5.00
32868.- GOSALBEZ MARTIN, JAVIER 0.25
32869.- GRIÑON MARTIN, JAVIER 3.41
32870.- GUIJARRO MARCOS, JAVIER 6.00
32871.- HERAS MARCHENA, JAVIER 3.00
32872.- HEREDERO MANZANO, JAVIER 3.41
32873.- HERNANDEZ LOPEZ, JAVIER 3.16
32874.- HERNANDEZ LOPEZ, JAVIER 1.33
32875.- HERNANDEZ LOPEZ, JAVIER 5.83
32876.- HERNANDEZ LOPEZ, JAVIER 5.16
32877.- JIMENEZ LOPEZ, JAVIER 1.58
32878.- JIMENEZ LOPEZ, JAVIER 5.25
32879.- LARRAYA LOPEZ, JAVIER 5.00
32880.- LEIVA LOPEZ, JAVIER 2.91
32881.- LEONOR LLORENTE, JAVIER 1.16
32882.- LLANOS LEIRA, JAVIER 1.16
32883.- LOBATO LEGAZPE, JESUS 3.00
